Plate	Well Number	Well	Characteristics [Organism]	Term Source 1 REF	Term Source 1 Accession	Characteristics [Cell Line]	Term Source 2 REF	Term Source 2 Accession	hORFeome V5.1 Identifier	hORFeome V5.1 Clone Description	Reagent Design Gene Annotation Build	Gene Identifier	Gene Symbol	Analysis Gene Annotation Build	Control Type	Control Comments	Channels	Comments
11001	1	A1	Homo sapiens	NCBITaxon	NCBITaxon_9606	HeLa	EFO	EFO_0001185	9994	"Homo sapiens zinc finger, CCHC domain containing 9"		84240	ZCCHC9				DAPI:nuclei;TRITC:HA_Flag tagged protein	
11001	2	A2	Homo sapiens	NCBITaxon	NCBITaxon_9606	HeLa	EFO	EFO_0001185	168	"Homo sapiens ribosomal protein L27a, mRNA (cDNA clone IMAGE:3906869), complete cds."		84736	RPL27A				DAPI:nuclei;TRITC:HA_Flag tagged protein	
11001	3	A3	Homo sapiens	NCBITaxon	NCBITaxon_9606	HeLa	EFO	EFO_0001185	2850	"Homo sapiens chromosome 8 open reading frame 43, mRNA (cDNA clone IMAGE:3866356)."		619434	NCRNA00051				DAPI:nuclei;TRITC:HA_Flag tagged protein	
11001	4	A4	Homo sapiens	NCBITaxon	NCBITaxon_9606	HeLa	EFO	EFO_0001185	8745	Homo sapiens GATA binding protein 3		2625	GATA3				DAPI:nuclei;TRITC:HA_Flag tagged protein	
11001	5	A5	Homo sapiens	NCBITaxon	NCBITaxon_9606	HeLa	EFO	EFO_0001185	1789	Homo sapiens piccolo (presynaptic cytomatrix protein		27445	PCLO				DAPI:nuclei;TRITC:HA_Flag tagged protein	
11001	6	A6	Homo sapiens	NCBITaxon	NCBITaxon_9606	HeLa	EFO	EFO_0001185	2752	"Homo sapiens cDNA clone MGC:5619 IMAGE:3462332, complete cds."							DAPI:nuclei;TRITC:HA_Flag tagged protein	
11001	7	A7	Homo sapiens	NCBITaxon	NCBITaxon_9606	HeLa	EFO	EFO_0001185	228	"Homo sapiens thymosin, beta 10"		9168	TMSB10				DAPI:nuclei;TRITC:HA_Flag tagged protein	
11001	8	A8	Homo sapiens	NCBITaxon	NCBITaxon_9606	HeLa	EFO	EFO_0001185	8748	"Homo sapiens 1-acylglycerol-3-phosphate O-acyltransferase 1 (lysophosphatidic acid acyltransferase, alpha"		10554	AGPAT1				DAPI:nuclei;TRITC:HA_Flag tagged protein	
11001	9	A9	Homo sapiens	NCBITaxon	NCBITaxon_9606	HeLa	EFO	EFO_0001185	54	Homo sapiens hypothetical protein from clone 643		57228	SMAGP				DAPI:nuclei;TRITC:HA_Flag tagged protein	
11001	10	A10	Homo sapiens	NCBITaxon	NCBITaxon_9606	HeLa	EFO	EFO_0001185	9786	Homo sapiens zinc finger protein 616		90317	ZNF616				DAPI:nuclei;TRITC:HA_Flag tagged protein	
