Plate	Well Number	Well	Plate_Well	Characteristics [Organism]	Term Source 1 REF	Term Source 1 Accession	Characteristics [Strain]	Gene Identifier	Gene Symbol	Gene Symbol Synonyms	Gene Description	GO Biological Process	GO Molecular Function	GO Cellular Component	GO Term	Reagent Design Gene Annotation Build	Analysis Gene Annotation Build	Batch	Control Type	Control Comments	Quality Control	Channels	Comments
P101	1	A1	P101_A1																				annotation not available; images not available
P101	2	A2	P101_A2	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	BY4739	YAL068C	PAU8		"Protein of unknown function, member of the seripauperin multigene family encoded mainly in subtelomeric regions"	"sporulation resulting in formation of a cellular spore, transcription, RNA metabolic process"	molecular_function	cellular_component	"RNA metabolic process, cellular_component, molecular_function, sporulation, transcription"			01_1				DIC:cell structure;YFP:Rad52-YFP protein	
P101	3	A3	P101_A3	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	BY4739	YAL067C	SEO1		"Putative permease, member of the allantoate transporter subfamily of the major facilitator superfamily; mutation confers resistance to ethionine sulfoxide"	transport	transporter activity	membrane	"membrane, transport, transporter activity"			01_1				DIC:cell structure;YFP:Rad52-YFP protein	
P101	4	A4	P101_A4	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	BY4739	YAL066W			"Dubious open reading frame unlikely to encode a protein, based on available experimental and comparative sequence data"	biological_process	molecular_function	cellular_component	"biological_process, cellular_component, molecular_function"			01_1				DIC:cell structure;YFP:Rad52-YFP protein	
P101	5	A5	P101_A5	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	BY4739	YAL065C			Putative protein of unknown function; has homology to FLO1; possible pseudogene	biological_process	molecular_function	cellular_component	"biological_process, cellular_component, molecular_function"			01_1				DIC:cell structure;YFP:Rad52-YFP protein	
P101	6	A6	P101_A6	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	BY4739	YAL062W	GDH3	FUN51	"NADP(+)-dependent glutamate dehydrogenase, synthesizes glutamate from ammonia and alpha-ketoglutarate; rate of alpha-ketoglutarate utilization differs from Gdh1p; expression regulated by nitrogen and carbon sources"	cellular amino acid and derivative metabolic process	oxidoreductase activity	"nucleus, mitochondrion, cytoplasm"	"amino acid and derivative metabolic process, mitochondrion, nucleus, other, oxidoreductase activity"			01_1				DIC:cell structure;YFP:Rad52-YFP protein	
P101	7	A7	P101_A7	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	BY4739	YAL061W	BDH2		Putative medium-chain alcohol dehydrogenase with similarity to BDH1; transcription induced by constitutively active PDR1 and PDR3	biological_process	oxidoreductase activity	"nucleus, cytoplasm"	"biological_process, cytoplasm, nucleus, oxidoreductase activity"			01_1				DIC:cell structure;YFP:Rad52-YFP protein	
P101	8	A8	P101_A8	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	BY4739	YAL060W	BDH1	"(2R,3R)-2,3-butanediol dehydrogenase;BDH"	"NAD-dependent (R,R)-butanediol dehydrogenase, catalyzes oxidation of (R,R)-2,3-butanediol to (3R)-acetoin, oxidation of meso-butanediol to (3S)-acetoin, and reduction of acetoin; enhances use of 2,3-butanediol as an aerobic carbon source"	other	oxidoreductase activity	cytoplasm	"cytoplasm, other, oxidoreductase activity"			01_1				DIC:cell structure;YFP:Rad52-YFP protein	
P101	9	A9	P101_A9	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	BY4739	YAL059W	ECM1		Pre-ribosomal factor involved in 60S ribosomal protein subunit export; associates with the pre-60S particle; shuttles between the nucleus and cytoplasm	"transport, fungal-type cell wall organization, ribosome biogenesis"	molecular_function	"nucleus, nucleolus"	"cell wall organization and biogenesis, molecular_function, nucleolus, nucleus, organelle organization and biogenesis, ribosome biogenesis, transport"			01_1				DIC:cell structure;YFP:Rad52-YFP protein	
P101	10	A10	P101_A10	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	BY4739	YAL058W	CNE1	FUN48	"Calnexin; integral membrane ER chaperone involved in folding and quality control of glycoproteins; chaperone activity is inhibited by Mpd1p, with which Cne1p interacts; 24% identical to mammalian calnexin; Ca+ binding not yet shown in yeast"	"protein folding, cellular protein catabolic process"	protein binding	"membrane, endomembrane system, endoplasmic reticulum, cytoplasm"	"cytoplasm, endomembrane system, endoplasmic reticulum, membrane, protein binding, protein catabolic process, protein folding"			01_1				DIC:cell structure;YFP:Rad52-YFP protein	
